Hour,Hour_Sin,Hour_Cos,Rain,Solar Rad,Prędkość wiatru  [m/s],Temperatura powietrza [°C],Wilgotność względna [%],Ciśnienie na poziomie stacji [hPa],Facade_Orientation,Floor_Level,Area,Insulation,Temperature
22,-0.5,0.866,0,0,2,18.1,69,1003.7,N,1,0,1,19.8
23,-0.259,0.966,0,0,1,16.2,78,1003.2,N,1,0,1,19.0
0,0.0,1.0,0,0,1,14.9,86,1003,N,1,0,1,18.4
1,0.259,0.966,0,0,0,14.1,90,1002.4,N,1,0,1,18.3
2,0.5,0.866,0,0,1,14.2,89,1002.4,N,1,0,1,18.0
3,0.707,0.707,0,0,3,14.5,88,1002,N,1,0,1,17.5
4,0.866,0.5,0,0,0,13.5,92,1002,N,1,0,1,17.0
5,0.966,0.259,0,0,1,13.8,93,1002.2,N,1,0,1,17.1
6,1.0,0.0,0,0,1,16,89,1002.3,N,1,0,1,16.4
7,0.966,-0.259,0,28,1,18.8,76,1002.3,N,1,0,1,16
8,0.866,-0.5,0,127,1,20.8,68,1002.2,N,1,0,1,17.3
9,0.707,-0.707,0,317,1,23.3,65,1002.1,N,1,0,1,19.1
10,0.5,-0.866,0,472,2,25,63,1001.7,N,1,0,1,20.3
11,0.259,-0.966,0,588,3,26,58,1001.3,N,1,0,1,22.0
12,0.0,-1.0,0,672,2,27.7,56,1001.1,N,1,0,1,23.8
13,-0.259,-0.966,0,715,2,28.2,54,1000.8,N,1,0,1,25.5
14,-0.5,-0.866,0,683,3,28.4,52,1000.3,N,1,0,1,26.6
15,-0.707,-0.707,0,590,3,28.6,51,1000.1,N,1,0,1,27.4
16,-0.866,-0.5,0,467,3,28.4,53,1000.1,N,1,0,1,27.9
17,-0.966,-0.259,0,305,2,27,58,1000.3,N,1,0,1,28.3
18,-1.0,-0.0,0,78,2,25.7,63,1000.7,N,1,0,1,28.2
19,-0.966,0.259,0,32,2,24.5,68,1000.9,N,1,0,1,27.5
20,-0.866,0.5,0,1,2,23.3,74,1001.3,N,1,0,1,26.2
21,-0.707,0.707,0,0,2,23.3,72,1001.1,N,1,0,1,25.0
22,-0.5,0.866,0,0,2,22,76,1001.3,N,1,0,1,23.8
23,-0.259,0.966,0,0,1,21.3,80,1001.4,N,1,0,1,22.8
0,0.0,1.0,0,0,1,21.1,80,1001.3,N,1,0,1,21.9
8,0.866,-0.5,0,69,3,13.6,91,995.5,N,2,0,1,16.1
9,0.707,-0.707,0,101,3,14.9,82,995.4,N,2,0,1,15.5
10,0.5,-0.866,0,89,3,16.9,68,995.2,N,2,0,1,14.4
11,0.259,-0.966,0,256,3,19.4,57,994.5,N,2,0,1,14.9
12,0.0,-1.0,0,461,2,20.1,56,994.1,N,2,0,1,17.6
13,-0.259,-0.966,0,994,5,21,48,993.6,N,2,0,1,19.6
14,-0.5,-0.866,0,578,6,21.3,47,993.5,N,2,0,1,21.7
15,-0.707,-0.707,0,345,6,21.1,48,993.2,N,2,0,1,22.4
16,-0.866,-0.5,0,176,4,21.2,51,992.8,N,2,0,1,21.8
17,-0.966,-0.259,0,280,6,21.9,49,992.8,N,2,0,1,22.4
18,-1.0,-0.0,0,198,6,20.8,53,992.8,N,2,0,1,22.3
19,-0.966,0.259,0,81,4,19.4,60,993.2,N,2,0,1,22.3
20,-0.866,0.5,0,47,4,15.6,93,994.6,N,2,0,1,21.7
21,-0.707,0.707,0,5,4,15.5,94,995.3,N,2,0,1,20.6
22,-0.5,0.866,0.76,0,5,15.3,93,996.2,N,2,0,1,18.2
23,-0.259,0.966,0,0,3,14.6,90,996.8,N,2,0,1,16.0
0,0.0,1.0,0,0,2,12.9,94,997.3,N,2,0,1,15.9
1,0.259,0.966,0,0,1,11.8,96,997.7,N,2,0,1,15.3
2,0.5,0.866,0,0,2,11.6,96,997.8,N,2,0,1,14.4
3,0.707,0.707,0,0,1,11.5,94,998.1,N,2,0,1,13.7
4,0.866,0.5,0,0,1,11.9,92,998.5,N,2,0,1,13.3
5,0.966,0.259,0,5,4,14.5,81,998.9,N,2,0,1,12.9
6,1.0,0.0,0,54,2,16.6,75,999.1,N,2,0,1,13.5
7,0.966,-0.259,0,207,3,18.3,66,999.2,N,2,0,1,18.9
8,0.866,-0.5,0,354,4,19.1,56,999.2,N,2,0,1,20.4
9,0.707,-0.707,0,456,4,19.3,57,998.9,N,2,0,1,20.4
10,0.5,-0.866,0,520,5,19.7,53,998.9,N,2,0,1,21.2
11,0.259,-0.966,0,355,7,22.6,49,998.3,N,2,0,1,21.3
12,0.0,-1.0,0,358,8,22.5,48,997.9,N,2,0,1,22
13,-0.259,-0.966,0,617,5,21.6,49,997.9,N,2,0,1,23.3
14,-0.5,-0.866,0,522,1,20.9,56,997.9,N,2,0,1,24.2
15,-0.707,-0.707,0,234,2,22.3,48,997.5,N,2,0,1,23.8
16,-0.866,-0.5,0,97,2,22.6,49,997.1,N,2,0,1,22.2
17,-0.966,-0.259,0,211,4,22.4,46,997.4,N,2,0,1,22.5
18,-1.0,-0.0,0,283,3,21.3,51,997.4,N,2,0,1,23.6
19,-0.966,0.259,0,105,3,19.6,56,997.7,N,2,0,1,23.2
20,-0.866,0.5,0,37,2,17.5,66,998.2,N,2,0,1,22.3
21,-0.707,0.707,0,10,1,16.5,70,998.4,N,2,0,1,21.2
22,-0.5,0.866,0,0,2,15.8,75,998.5,N,2,0,1,19.7
23,-0.259,0.966,0,0,2,17,70,998.5,N,2,0,1,18.6
0,0.0,1.0,0,0,0,15.5,75,998.3,N,2,0,1,17.7
1,0.259,0.966,0,0,1,14.3,82,998.2,N,2,0,1,17.5
2,0.5,0.866,0,0,2,14.4,82,997.7,N,2,0,1,17.4
3,0.707,0.707,0,0,2,13.7,86,997.6,N,2,0,1,16.3
4,0.866,0.5,0,0,1,14.8,83,997.6,N,2,0,1,15.6
5,0.966,0.259,0,4,2,17.6,73,997.2,N,2,0,1,15.1
6,1.0,0.0,0,48,4,19.9,66,997.3,N,2,0,1,15.9
7,0.966,-0.259,0,212,6,23,55,997.1,N,2,0,1,21.7
8,0.866,-0.5,0,335,8,25.1,47,996.5,N,2,0,1,22.9
9,0.707,-0.707,0,436,7,26.9,43,995.5,N,2,0,1,23.8
10,0.5,-0.866,0,690,7,28.7,43,994.7,N,2,0,1,25.5
11,0.259,-0.966,0,819,7,30,41,993.6,N,2,0,1,27.1
12,0.0,-1.0,0,890,7,30.6,38,992.8,N,2,0,1,28.3
13,-0.259,-0.966,0,924,6,31.5,36,992,N,2,0,1,29.8
14,-0.5,-0.866,0,916,9,32.1,35,991.3,N,2,0,1,31.0
15,-0.707,-0.707,0,693,9,31.8,34,990.6,N,2,0,1,31.7
16,-0.866,-0.5,0,740,8,30.8,38,990.4,N,2,0,1,32.2
17,-0.966,-0.259,0,583,9,30.5,38,990.4,N,2,0,1,31.9
18,-1.0,-0.0,0,220,6,29.4,41,990.2,N,2,0,1,31.5
19,-0.966,0.259,0,62,3,27.3,46,990.8,N,2,0,1,30.6
20,-0.866,0.5,0,43,5,25.6,53,991.9,N,2,0,1,29.6
21,-0.707,0.707,0,4,2,23.6,61,992.5,N,2,0,1,28.1
22,-0.5,0.866,0,0,4,22.5,70,993.3,N,2,0,1,26.6
23,-0.259,0.966,0,0,4,21.1,78,994.5,N,2,0,1,25.3
0,0.0,1.0,0,0,3,19.2,83,994.5,N,2,0,1,24
1,0.259,0.966,0,0,2,18.1,91,995.2,N,2,0,1,22.6
2,0.5,0.866,0,0,1,18,92,996,N,2,0,1,20.9
3,0.707,0.707,0,0,2,18.2,90,996.6,N,2,0,1,19.8
4,0.866,0.5,0,0,4,18.6,86,997.4,N,2,0,1,19.3
5,0.966,0.259,0,0,3,19.1,75,998.5,N,2,0,1,19.0
6,1.0,0.0,0,27,3,18.7,68,999.4,N,2,0,1,19.2
7,0.966,-0.259,0,124,3,19,57,1000.3,N,2,0,1,19.6
8,0.866,-0.5,0,175,3,20.1,53,1001,N,2,0,1,20.4
9,0.707,-0.707,0,264,1,18.7,74,1001.4,N,2,0,1,19.9
10,0.5,-0.866,0,313,2,18.2,76,1001.8,N,2,0,1,20.4
11,0.259,-0.966,0,198,2,19.6,71,1001.9,N,2,0,1,20.5
12,0.0,-1.0,0,239,1,20,68,1001.8,N,2,0,1,19.6
13,-0.259,-0.966,0,433,2,20.9,69,1001.8,N,2,0,1,20.6
14,-0.5,-0.866,0,531,1,21.3,64,1001.7,N,2,0,1,22.2
15,-0.707,-0.707,0,401,1,21.3,64,1001.5,N,2,0,1,23.3
16,-0.866,-0.5,0,274,1,21.2,67,1001.7,N,2,0,1,22.9
17,-0.966,-0.259,0,113,3,20.9,65,1001.8,N,2,0,1,22.8
18,-1.0,-0.0,0,61,2,19.1,84,1002,N,2,0,1,21.9
19,-0.966,0.259,0,50,4,18,87,1002,N,2,0,1,21.3
20,-0.866,0.5,0,17,2,17.3,91,1002.7,N,2,0,1,20.4
21,-0.707,0.707,0.25,7,1,16.6,94,1002.7,N,2,0,1,18.8
22,-0.5,0.866,0,0,1,16.4,95,1002.9,N,2,0,1,17.8
23,-0.259,0.966,0,0,1,15.8,98,1003.1,N,2,0,1,17.5
0,0.0,1.0,0,0,2,15.6,96,1003.1,N,2,0,1,17.1
1,0.259,0.966,0,0,1,15.9,99,1003,N,2,0,1,16.9
2,0.5,0.866,0,0,0,15.4,97,1003,N,2,0,1,16.9
3,0.707,0.707,0,0,1,16.2,99,1003.5,N,2,0,1,17.0
4,0.866,0.5,0,0,1,16.9,98,1003.7,N,2,0,1,16.8
5,0.966,0.259,0,0,2,16.6,99,1004.3,N,2,0,1,17
6,1.0,0.0,0,12,2,18.3,89,1004.6,N,2,0,1,17.3
7,0.966,-0.259,0,44,2,20.1,80,1004.8,N,2,0,1,17.8
8,0.866,-0.5,0,177,2,20.8,74,1005,N,2,0,1,19.5
9,0.707,-0.707,0,390,2,23.3,62,1005,N,2,0,1,21.1
10,0.5,-0.866,0,381,2,24.5,56,1004.8,N,2,0,1,23.0
11,0.259,-0.966,0,385,2,25.4,51,1004.6,N,2,0,1,23.8
12,0.0,-1.0,0,970,2,26.5,48,1004.6,N,2,0,1,24.4
13,-0.259,-0.966,0,663,3,26.5,48,1004.2,N,2,0,1,26.1
14,-0.5,-0.866,0,687,2,26.5,44,1004,N,2,0,1,26.6
15,-0.707,-0.707,0,338,1,27.3,42,1003.7,N,2,0,1,26.9
16,-0.866,-0.5,0,337,3,26.5,44,1003.8,N,2,0,1,27.1
17,-0.966,-0.259,0,301,2,26.4,46,1004,N,2,0,1,27.6
18,-1.0,-0.0,0,246,2,26.3,45,1004.1,N,2,0,1,27.1
19,-0.966,0.259,0,113,2,25.4,49,1004.3,N,2,0,1,27.2
20,-0.866,0.5,0,57,2,24.1,54,1004.8,N,2,0,1,26.7
21,-0.707,0.707,0,7,1,21.2,65,1005.1,N,2,0,1,25.8
22,-0.5,0.866,0,0,1,20.1,69,1005.2,N,2,0,1,24.4
23,-0.259,0.966,0,0,0,19,76,1005.2,N,2,0,1,23
0,0.0,1.0,0,0,1,17.9,82,1005.6,N,2,0,1,22.0
1,0.259,0.966,0,0,0,17.7,82,1005.6,N,2,0,1,21.5
2,0.5,0.866,0,0,0,16.2,88,1005.7,N,2,0,1,20.6
3,0.707,0.707,0,0,0,16.3,88,1006,N,2,0,1,19.8
4,0.866,0.5,0,0,1,17,88,1006.1,N,2,0,1,19.0
5,0.966,0.259,0,4,2,19.9,79,1006.3,N,2,0,1,18.3
6,1.0,0.0,0,46,2,22.4,73,1006.4,N,2,0,1,19.0
7,0.966,-0.259,0,180,3,24.7,65,1006,N,2,0,1,23.3
8,0.866,-0.5,0,316,3,26.2,61,1006.1,N,2,0,1,24.6
9,0.707,-0.707,0,410,3,27.1,58,1006.2,N,2,0,1,24.9
10,0.5,-0.866,0,661,3,28,55,1005.7,N,2,0,1,26.2
11,0.259,-0.966,0,759,4,29.3,51,1005.1,N,2,0,1,27.8
12,0.0,-1.0,0,716,4,29.9,48,1004.6,N,2,0,1,28.3
13,-0.259,-0.966,0,666,4,29.9,48,1004.2,N,2,0,1,29.5
14,-0.5,-0.866,0,725,4,30.3,46,1003.8,N,2,0,1,30.5
15,-0.707,-0.707,0,581,4,29.9,48,1003.4,N,2,0,1,31.0
16,-0.866,-0.5,0,676,4,30.6,47,1003.1,N,2,0,1,31.2
17,-0.966,-0.259,0,244,3,31,46,1002.9,N,2,0,1,31.8
18,-1.0,-0.0,0,118,2,29.5,51,1002.8,N,2,0,1,31.8
19,-0.966,0.259,0,60,2,28.1,54,1002.9,N,2,0,1,31.7
20,-0.866,0.5,0,34,2,25.9,62,1003,N,2,0,1,30.9
21,-0.707,0.707,0,8,2,24.4,67,1002.9,N,2,0,1,29.7
22,-0.5,0.866,0,0,2,23.1,73,1002.7,N,2,0,1,27.9
23,-0.259,0.966,0,0,2,22.8,74,1002.9,N,2,0,1,26.5
0,0.0,1.0,0,0,2,22,79,1002.9,N,2,0,1,25.3
1,0.259,0.966,0,0,2,21.5,83,1002.8,N,2,0,1,24.3
2,0.5,0.866,0,0,2,21.6,85,1002.7,N,2,0,1,23.5
3,0.707,0.707,0,0,1,21.2,88,1002.7,N,2,0,1,22.7
4,0.866,0.5,0,0,3,22.2,86,1002.5,N,2,0,1,22.1
5,0.966,0.259,0,4,3,23.8,81,1002.4,N,2,0,1,21.5
6,1.0,0.0,0,50,3,25.5,76,1002.3,N,2,0,1,22
7,0.966,-0.259,0,167,4,27.9,69,1002,N,2,0,1,24.0
8,0.866,-0.5,0,274,4,30.8,57,1001.7,N,2,0,1,27.1
9,0.707,-0.707,0,396,6,32.8,47,1001.2,N,2,0,1,28.6
10,0.5,-0.866,0,635,7,34.3,39,1000.7,N,2,0,1,30.4
11,0.259,-0.966,0,738,7,35.6,38,1000,N,2,0,1,32.5
12,0.0,-1.0,0,818,7,35.2,35,999.8,N,2,0,1,34.4
13,-0.259,-0.966,0,905,8,35.5,36,998.9,N,2,0,1,35.6
14,-0.5,-0.866,0,843,7,35.3,36,998.7,N,2,0,1,36.3
15,-0.707,-0.707,0,819,7,29.2,55,1000.1,N,2,0,1,36.7
16,-0.866,-0.5,0,530,3,26.7,63,1000,N,2,0,1,36.8
17,-0.966,-0.259,0,190,1,27.1,60,999.7,N,2,0,1,35.8
18,-1.0,-0.0,0,135,2,25.4,73,1000.5,N,2,0,1,30.1
19,-0.966,0.259,0,110,12,20.1,91,1002.9,N,2,0,1,29
20,-0.866,0.5,0,50,2,20.2,93,1002.8,N,2,0,1,28.0
21,-0.707,0.707,0,1,3,20.4,94,1001.5,N,2,0,1,25.4
22,-0.5,0.866,21.08,0,2,20.2,97,1001.8,N,2,0,1,21.3
23,-0.259,0.966,0.51,0,1,20,97,1001.8,N,2,0,1,20.0
0,0.0,1.0,0,0,2,18.9,95,1002.6,N,2,0,1,20.2
1,0.259,0.966,0,0,2,19.3,98,1000.8,N,2,0,1,20.2
2,0.5,0.866,2.29,0,3,19.6,99,1002.2,N,2,0,1,20.5
3,0.707,0.707,1.52,0,1,19.6,99,1002.2,N,2,0,1,20.1
4,0.866,0.5,0.25,0,1,19.6,99,1002.3,N,2,0,1,19.8
5,0.966,0.259,0,1,2,21.1,96,1002.5,N,2,0,1,19.7
6,1.0,0.0,0,37,2,22.8,86,1002.3,N,2,0,1,20
7,0.966,-0.259,0,179,1,23.7,82,1002.2,N,2,0,1,24.2
8,0.866,-0.5,0,260,3,25.2,74,1002.4,N,2,0,1,25.7
9,0.707,-0.707,0,254,3,25.7,70,1002.4,N,2,0,1,24.6
10,0.5,-0.866,0,605,2,26.6,69,1002.3,N,2,0,1,25.3
11,0.259,-0.966,0,685,2,27.1,65,1002.5,N,2,0,1,27.1
12,0.0,-1.0,0,433,3,26.8,65,1002.3,N,2,0,1,27.6
13,-0.259,-0.966,0,447,3,28.3,55,1001.6,N,2,0,1,28.6
14,-0.5,-0.866,0,228,3,28.2,57,1001.6,N,2,0,1,28.5
15,-0.707,-0.707,0,430,2,29,53,1001.6,N,2,0,1,27.7
16,-0.866,-0.5,0,453,2,29,54,1001.3,N,2,0,1,29.1
17,-0.966,-0.259,0,568,1,27.5,60,1001,N,2,0,1,30.2
18,-1.0,-0.0,0,184,2,25.9,70,1001.9,N,2,0,1,29.7
19,-0.966,0.259,0,66,2,21.4,96,1002.7,N,2,0,1,28.5
20,-0.866,0.5,0,15,2,21.4,97,1002.1,N,2,0,1,26.6
21,-0.707,0.707,0.25,0,2,19.9,97,1002.5,N,2,0,1,24.1
22,-0.5,0.866,0.25,0,1,19.4,96,1001.9,N,2,0,1,22.5
23,-0.259,0.966,0,0,0,18.6,97,1002.3,N,2,0,1,22.1
0,0.0,1.0,0,0,1,18.3,99,1002.2,N,2,0,1,20.9
1,0.259,0.966,0,0,1,18,99,1002,N,2,0,1,20.4
2,0.5,0.866,0,0,1,18.1,99,1002.1,N,2,0,1,20.2
3,0.707,0.707,0,0,1,17.9,98,1002,N,2,0,1,20.2
4,0.866,0.5,0,0,1,17.7,99,1001.8,N,2,0,1,20.0
5,0.966,0.259,0,5,1,19.6,96,1001.5,N,2,0,1,19.7
6,1.0,0.0,0,27,3,21.4,89,1001.5,N,2,0,1,19.8
7,0.966,-0.259,0,149,3,22.6,86,1001.1,N,2,0,1,21.2
8,0.866,-0.5,0,227,3,24.4,77,1000.4,N,2,0,1,22.8
9,0.707,-0.707,0,428,3,25.1,77,1000,N,2,0,1,23.3
10,0.5,-0.866,0,475,3,26.6,77,999.3,N,2,0,1,25.2
11,0.259,-0.966,0,362,4,26.7,69,998.8,N,2,0,1,26.6
12,0.0,-1.0,0,518,2,24.7,88,998.7,N,2,0,1,27.5
13,-0.259,-0.966,0,308,2,24.8,89,997.4,N,2,0,1,29.1
14,-0.5,-0.866,0.25,83,1,24.8,91,996.7,N,2,0,1,27.1
15,-0.707,-0.707,0,168,3,25.3,91,996.5,N,2,0,1,26.9
16,-0.866,-0.5,2.29,113,2,25.2,86,995.2,N,2,0,1,25.6
17,-0.966,-0.259,2.03,127,3,24.7,91,994.8,N,2,0,1,25.1
18,-1.0,-0.0,0.25,187,3,23,88,994.1,N,2,0,1,25.5
19,-0.966,0.259,0,92,3,22.2,93,994.2,N,2,0,1,24.3
20,-0.866,0.5,0,19,3,17.9,99,996.1,N,2,0,1,22.9
21,-0.707,0.707,3.81,1,3,17.8,96,994.4,N,2,0,1,22.4
22,-0.5,0.866,23.11,0,4,17.6,98,994.2,N,2,0,1,20.5
23,-0.259,0.966,4.57,0,4,17.7,98,994,N,2,0,1,17.4
0,0.0,1.0,0.25,0,3,17.6,98,993.8,N,2,0,1,17.6
1,0.259,0.966,0,0,1,17.7,98,993.8,N,2,0,1,17.6
2,0.5,0.866,0,0,1,16.9,98,993.7,N,2,0,1,17.7
3,0.707,0.707,0,0,3,16.8,99,994,N,2,0,1,17.7
4,0.866,0.5,0,0,2,17.4,98,994.2,N,2,0,1,17.5
5,0.966,0.259,0,2,4,19.5,94,994.9,N,2,0,1,17.1
6,1.0,0.0,0,48,3,21.3,83,995.7,N,2,0,1,17.6
7,0.966,-0.259,0,160,6,20.4,88,996.6,N,2,0,1,21.9
8,0.866,-0.5,0,260,5,20.2,84,997.2,N,2,0,1,23.2
9,0.707,-0.707,0,161,3,18.4,93,998,N,2,0,1,22.3
10,0.5,-0.866,0,307,4,19.7,81,998.5,N,2,0,1,21.9
11,0.259,-0.966,0.76,140,4,20,79,999.2,N,2,0,1,20.9
12,0.0,-1.0,0,215,2,21.5,72,999.1,N,2,0,1,19.7
13,-0.259,-0.966,0,268,3,22.1,67,999.3,N,2,0,1,20.2
14,-0.5,-0.866,0,669,1,22.8,64,999.1,N,2,0,1,21.9
15,-0.707,-0.707,0,509,2,23.9,61,999,N,2,0,1,22.9
16,-0.866,-0.5,0,607,1,24,61,999,N,2,0,1,23.7
17,-0.966,-0.259,0,387,2,23.7,64,999.1,N,2,0,1,23.8
18,-1.0,-0.0,0,264,1,22.9,65,999.2,N,2,0,1,24.4
19,-0.966,0.259,0,69,2,21.8,72,999.3,N,2,0,1,24.3
20,-0.866,0.5,0,24,1,21.1,74,999.2,N,2,0,1,23.2
21,-0.707,0.707,0,8,1,20.8,77,999.4,N,2,0,1,22.3
22,-0.5,0.866,0,0,1,20.2,84,999.5,N,2,0,1,21.6
23,-0.259,0.966,0,0,1,19.6,88,1000.3,N,2,0,1,20.9
0,0.0,1.0,0,0,3,18.1,98,1000.2,N,2,0,1,20.4
1,0.259,0.966,3.3,0,1,18.3,97,1000.2,N,2,0,1,19.3
2,0.5,0.866,1.52,0,4,17.8,97,999.8,N,2,0,1,18.3
3,0.707,0.707,2.03,0,1,17.6,96,1000.3,N,2,0,1,17.9
4,0.866,0.5,0.51,0,2,17.5,97,1000.7,N,2,0,1,17.5
5,0.966,0.259,0.25,0,3,17.9,95,1000.6,N,2,0,1,17.0
6,1.0,0.0,0.25,14,3,18.3,93,1001,N,2,0,1,17.3
7,0.966,-0.259,0.25,44,4,19.3,87,1001.4,N,2,0,1,17.5
8,0.866,-0.5,0,121,2,20.4,84,1001.3,N,2,0,1,18.0
9,0.707,-0.707,0,214,2,22,75,1001,N,2,0,1,19.3
10,0.5,-0.866,0,353,2,23.5,66,1000.4,N,2,0,1,21.5
11,0.259,-0.966,0,789,3,25.3,59,999.9,N,2,0,1,23.1
12,0.0,-1.0,0,904,2,25.8,56,999.8,N,2,0,1,23.8
13,-0.259,-0.966,0,890,4,26.7,50,999.6,N,2,0,1,24.6
14,-0.5,-0.866,0,899,3,27.1,50,999.3,N,2,0,1,25.8
15,-0.707,-0.707,0,841,4,27.3,50,998.7,N,2,0,1,26.7
16,-0.866,-0.5,0,738,5,27.5,49,998.7,N,2,0,1,27.1
17,-0.966,-0.259,0,574,4,26.9,54,998.8,N,2,0,1,27.6
18,-1.0,-0.0,0,271,3,24.7,63,998.6,N,2,0,1,27.9
19,-0.966,0.259,0,54,4,22.6,70,999.9,N,2,0,1,27.5
20,-0.866,0.5,0,37,3,20.7,82,1000.2,N,2,0,1,26.6
21,-0.707,0.707,0,8,1,19.8,86,1000.3,N,2,0,1,25.1
22,-0.5,0.866,0,0,1,19.3,88,1000.7,N,2,0,1,21.7
23,-0.259,0.966,0,0,2,18.6,94,1000.9,N,2,0,1,20.4
0,0.0,1.0,0,0,1,18.4,94,1000.8,N,2,0,1,19.9
1,0.259,0.966,0,0,1,17.8,96,1000.9,N,2,0,1,19.5
2,0.5,0.866,0,0,1,16.7,98,1000.9,N,2,0,1,19.4
3,0.707,0.707,0,0,1,17,99,1000.9,N,2,0,1,19.2
4,0.866,0.5,0,0,0,16.7,97,1001.1,N,2,0,1,18.8
5,0.966,0.259,0,2,1,18.9,95,1001.3,N,2,0,1,18.3
6,1.0,0.0,0,46,1,20.7,85,1001.4,N,2,0,1,18.6
7,0.966,-0.259,0,167,1,23.3,74,1001.1,N,2,0,1,21.4
8,0.866,-0.5,0,308,2,25.4,62,1000.8,N,2,0,1,25.3
9,0.707,-0.707,0,406,1,27.3,45,1000.7,N,2,0,1,25.3
10,0.5,-0.866,0,664,2,28.4,35,1000.7,N,2,0,1,25.9
11,0.259,-0.966,0,787,3,28.9,36,1000.4,N,2,0,1,27.4
12,0.0,-1.0,0,861,3,29.6,37,1000.1,N,2,0,1,28.3
13,-0.259,-0.966,0,898,3,29.9,34,999.8,N,2,0,1,29.3
14,-0.5,-0.866,0,880,4,30.6,37,999.4,N,2,0,1,30.1
15,-0.707,-0.707,0,815,2,30.7,34,998.9,N,2,0,1,30.5
16,-0.866,-0.5,0,716,3,30.8,35,998.3,N,2,0,1,30.9
17,-0.966,-0.259,0,587,2,30.6,34,998.3,N,2,0,1,31.3
18,-1.0,-0.0,0,233,3,29.2,41,998.2,N,2,0,1,31.2
19,-0.966,0.259,0,42,0,27.4,49,998.2,N,2,0,1,30.9
20,-0.866,0.5,0,28,1,24.2,59,998.2,N,2,0,1,30.1
21,-0.707,0.707,0,5,1,23.7,66,998.4,N,2,0,1,28.6
22,-0.5,0.866,0,0,2,22.3,75,998.3,N,2,0,1,26.8
23,-0.259,0.966,0,0,3,22.7,75,997.9,N,2,0,1,25.4
0,0.0,1.0,0,0,2,22.6,73,997.7,N,2,0,1,24.4
1,0.259,0.966,0,0,2,21.1,80,997.1,N,2,0,1,23.3
2,0.5,0.866,0,0,1,20.2,83,996.8,N,2,0,1,22.5
3,0.707,0.707,0,0,1,20.3,84,997.1,N,2,0,1,21.8
4,0.866,0.5,0,0,3,20.5,85,997,N,2,0,1,21.0
5,0.966,0.259,0,3,2,21.7,80,996.8,N,2,0,1,20.4
6,1.0,0.0,0,48,3,24.3,72,996.8,N,2,0,1,20.9
7,0.966,-0.259,0,145,2,26.5,67,996.4,N,2,0,1,23.8
8,0.866,-0.5,0,311,3,28.8,59,996.3,N,2,0,1,26.0
9,0.707,-0.707,0,400,2,29.6,56,996.5,N,2,0,1,27.3
10,0.5,-0.866,0,513,4,22.2,85,996.8,N,2,0,1,28.9
11,0.259,-0.966,0,671,2,27.9,68,996.9,N,2,0,1,31.1
12,0.0,-1.0,0,268,6,27.5,56,997.3,N,2,0,1,30.8
13,-0.259,-0.966,0,879,3,26.6,56,998.1,N,2,0,1,27.6
14,-0.5,-0.866,0,523,3,27.2,59,998.1,N,2,0,1,28.8
15,-0.707,-0.707,0,339,3,26.2,62,998.5,N,2,0,1,28.6
16,-0.866,-0.5,0,703,1,26.5,66,998.2,N,2,0,1,28.4
17,-0.966,-0.259,0,406,2,28.1,58,998.2,N,2,0,1,28.5
18,-1.0,-0.0,0,142,2,27.4,58,998.4,N,2,0,1,27.5
19,-0.966,0.259,0,101,1,24.7,70,999.3,N,2,0,1,27.3
20,-0.866,0.5,0,31,1,23.1,78,1000,N,2,0,1,27.1
21,-0.707,0.707,0,6,2,22.8,79,1000.3,N,2,0,1,26.3
22,-0.5,0.866,0,0,2,23.3,77,1000.5,N,2,0,1,24.6
23,-0.259,0.966,0,0,3,22,81,1001,N,2,0,1,23.9
0,0.0,1.0,0,0,2,22.6,73,1001.8,N,2,0,1,23.6
1,0.259,0.966,0,0,3,21.1,75,1002,N,2,0,1,23.3
2,0.5,0.866,0,0,3,19.4,78,1003,N,2,0,1,23.3
3,0.707,0.707,0,0,3,18.3,83,1003.4,N,2,0,1,23.2
4,0.866,0.5,0,0,3,18.7,82,1003.8,N,2,0,1,22.4
5,0.966,0.259,0,2,2,20.2,69,1004.3,N,2,0,1,21.3
6,1.0,0.0,0,37,3,21.2,60,1005.1,N,2,0,1,20.9
7,0.966,-0.259,0,174,2,22.1,54,1005.7,N,2,0,1,23.9
8,0.866,-0.5,0,307,1,23.1,48,1005.6,N,2,0,1,24.6
9,0.707,-0.707,0,409,2,24.4,48,1005.7,N,2,0,1,23.4
10,0.5,-0.866,0,488,1,23.9,46,1005.8,N,2,0,1,24.2
11,0.259,-0.966,0,411,2,24.5,47,1005.6,N,2,0,1,25.2
12,0.0,-1.0,0,316,3,24.6,47,1005.8,N,2,0,1,25.3
13,-0.259,-0.966,0,327,4,24.5,54,1005.9,N,2,0,1,26.7
14,-0.5,-0.866,0,165,4,24.7,56,1005.7,N,2,0,1,26.5
15,-0.707,-0.707,0,205,4,24.9,58,1005.7,N,2,0,1,25.3
16,-0.866,-0.5,0,251,2,23.9,63,1005.4,N,2,0,1,25.6
17,-0.966,-0.259,0,177,3,23.7,61,1005.3,N,2,0,1,25.8
18,-1.0,-0.0,0,118,2,23.6,63,1005.8,N,2,0,1,25.3
19,-0.966,0.259,0,88,2,22.1,68,1006.2,N,2,0,1,24.9
20,-0.866,0.5,0,51,1,21.1,70,1006.5,N,2,0,1,24.7
21,-0.707,0.707,0,9,1,20.1,74,1007.1,N,2,0,1,23.7
